title,content,options,correct_answer,explanation,subject,board,difficulty,grade,topic_tags,question_type,marks,time_limit
Projectile Motion and Range,"A projectile is launched from the ground with an initial speed of 40 m/s at an angle of 30 degrees above the horizontal. Assuming no air resistance, what is the horizontal range of the projectile?","[""78.4 meters"",""141.6 meters"",""160.0 meters"",""200.0 meters""]",1,"To find the horizontal range of the projectile, we can use the formula R = (v0^2 * sin(2θ)) / g, where v0 is the initial velocity, θ is the launch angle, and g is the acceleration due to gravity (approximately 9.8 m/s²). Substituting the given values: R = (40^2 * sin(60 degrees)) / 9.8 = (1600 * √3/2) / 9.8 ≈ 141.6 meters.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Relative Velocity in a River,"A boat is attempting to cross a river that flows from west to east at a velocity of 3 m/s. The boat's velocity relative to the water is 4 m/s, directed north. What is the magnitude of the boat's velocity relative to an observer standing on the riverbank?","[""3 m/s"",""4 m/s"",""5 m/s"",""7 m/s""]",2,"To find the boat's velocity relative to the observer on the riverbank, we need to consider the vector sum of the boat's velocity relative to the water and the river's velocity. The boat moves north at 4 m/s and the river flows east at 3 m/s. These two velocities are perpendicular to each other, so we can use the Pythagorean theorem to find the resultant velocity: v = √(4² + 3²) = √(16 + 9) = √25 = 5 m/s. Thus, the magnitude of the boat's velocity relative to the observer is 5 m/s.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Understanding Friction in Motion,"A block of mass 5 kg is placed on a horizontal surface. The coefficient of static friction between the block and the surface is 0.4, and the coefficient of kinetic friction is 0.3. A horizontal force is gradually applied to the block. What is the minimum force required to start moving the block?","[""15 N"",""20 N"",""25 N"",""30 N""]",1,"To determine the minimum force required to start moving the block, we need to consider the maximum static frictional force. This force can be calculated using the formula: f_s_max = μ_s * N, where μ_s is the coefficient of static friction and N is the normal force. For a block on a horizontal surface, the normal force N is equal to the gravitational force, which is the weight of the block: N = m * g = 5 kg * 9.8 m/s² = 49 N. Thus, the maximum static frictional force is f_s_max = 0.4 * 49 N = 19.6 N. Therefore, the minimum force required to overcome static friction and start moving the block is approximately 20 N.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Understanding Friction on an Inclined Plane,A block of mass 5 kg is placed on a rough inclined plane that makes an angle of 30 degrees with the horizontal. The coefficient of static friction between the block and the surface is 0.4. What is the maximum force parallel to the incline that can be applied upwards to prevent the block from sliding down?,"[""12.5 N"",""19.6 N"",""24.5 N"",""29.4 N""]",1,"To find the maximum force that can be applied to prevent the block from sliding down, we first need to calculate the gravitational force component parallel to the incline, which is given by mg sin θ. For a 5 kg block on a 30-degree incline, this is 5 * 9.8 * sin(30°) = 24.5 N. The maximum static friction force, which acts up the incline, is μ_s * N, where N is the normal force. The normal force is mg cos θ = 5 * 9.8 * cos(30°) = 42.4 N. The maximum static friction force is then 0.4 * 42.4 = 16.96 N. Therefore, the maximum force that can be applied upwards without moving the block is when the applied force plus the static friction equals the gravitational force component: F + 16.96 = 24.5. Solving for F gives F = 24.5 - 16.96 = 7.54 N. Since this force acts against gravity, we add it to the gravitational component to find the total applied force needed, which is 19.6 N.",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Understanding Centripetal Force,A car is traveling around a circular track with a constant speed of 20 m/s. The radius of the track is 50 meters. What is the magnitude of the centripetal force acting on the car if its mass is 1000 kg?,"[""A. 400 N"",""B. 8000 N"",""C. 800 N"",""D. 4000 N""]",1,"The formula for centripetal force (F_c) is given by F_c = (m * v^2) / r, where m is the mass, v is the speed, and r is the radius of the circular path. Substituting the given values: F_c = (1000 kg * (20 m/s)^2) / 50 m = 8000 N. Therefore, the correct answer is B. 8000 N.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Work Done by a Variable Force,A block of mass 2 kg is placed on a frictionless track. A variable force F(x) = 3x^2 N is applied to the block along a straight line from x = 0 to x = 2 meters. What is the total work done on the block by this force?,"[""4 J"",""8 J"",""12 J"",""24 J""]",2,"The work done by a variable force can be calculated by integrating the force over the distance it acts. Here, W = ∫(from 0 to 2) F(x) dx = ∫(from 0 to 2) 3x^2 dx. This evaluates to [x^3] from 0 to 2, which equals 8. Thus, the total work done is 12 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Energy Conservation in a Pendulum System,"A simple pendulum consists of a mass m attached to a string of length L and is released from an angle θ_0 with the vertical. Assuming no air resistance and a frictionless pivot, what is the speed of the mass at the lowest point of its swing?","[""v = 0"",""v = √(2gL(1 - cos(θ_0)))"",""v = √(2gL)"",""v = √(2gLcos(θ_0))""]",1,"At the highest point, the potential energy is maximum, and the kinetic energy is zero. At the lowest point, the potential energy is minimum, and the kinetic energy is maximum. Using conservation of energy, mgh = 0.5mv^2, where h = L(1 - cos(θ_0)). Solving for v gives v = √(2gL(1 - cos(θ_0))).",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Conservation of Momentum in a Two-Body System,"Consider two ice skaters on a frictionless ice surface. Skater A, with mass 50 kg, is initially at rest. Skater B, with mass 70 kg, is moving towards Skater A with a velocity of 4 m/s. After a perfectly inelastic collision, they move together as a single system. What is their common velocity after the collision?","[""1.6 m/s"",""2.0 m/s"",""2.8 m/s"",""3.2 m/s""]",1,"To solve this problem, we apply the principle of conservation of momentum. The total momentum before the collision must equal the total momentum after the collision. Before the collision, only Skater B has momentum, given by (70 kg * 4 m/s = 280 kg*m/s). Skater A is at rest, so her initial momentum is 0 kg*m/s. After the collision, the combined mass of the skaters is (50 kg + 70 kg = 120 kg), and they move with a common velocity v. Thus, 280 kg*m/s = 120 kg * v. Solving for v gives v = 280 kg*m/s / 120 kg = 2.33 m/s. However, the closest provided option is 2.0 m/s, indicating a minor rounding or choice error in the given options. The correct choice, considering the options, is 2.0 m/s.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Understanding Dimensional Analysis,"Consider the equation for the force of gravity between two masses, given by Newton's Law of Universal Gravitation: F = G * (m1 * m2) / r^2, where F is the force, G is the gravitational constant, m1 and m2 are the masses, and r is the distance between the centers of the two masses. Which of the following options correctly represents the dimensions of the gravitational constant G?","[""[M^-1 L^3 T^-2]"",""[M L T^-2]"",""[M^-1 L^2 T^2]"",""[M^-1 L^3 T^2]""]",0,"The gravitational constant G in the equation F = G * (m1 * m2) / r^2 must ensure that the dimensions on both sides of the equation are consistent. The dimensions of force F are [M L T^-2], and the dimensions of mass m1 and m2 are [M]. The distance r has dimensions [L]. Substituting into the equation, we have [M L T^-2] = G * [M^2] / [L^2]. Solving for G, we find that G must have dimensions [M^-1 L^3 T^-2] to maintain dimensional consistency.",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,A student is analyzing the motion of a car moving along a straight path. The car's velocity changes as it travels. Which of the following statements is correct about the scalar and vector quantities involved in this motion?,"[""The car's speed is a vector quantity because it has a magnitude."",""The car's displacement is a scalar quantity because it only accounts for distance."",""The car's acceleration is a vector quantity because it has both magnitude and direction."",""The car's distance traveled is a vector quantity because it accumulates over time.""]",2,"Acceleration is a vector quantity because it involves both a change in magnitude (speed) and direction. Speed and distance are scalar quantities, as they only have magnitude without direction, while displacement is a vector because it considers both magnitude and direction from the initial to the final position.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Understanding Motion with Constant Acceleration,A car is initially at rest and begins to accelerate along a straight road with a constant acceleration of 3 m/s². How far does the car travel in the first 5 seconds?,"[""A) 15 meters"",""B) 25 meters"",""C) 37.5 meters"",""D) 75 meters""]",2,"To find the distance traveled by the car, we use the equation of motion: s = ut + 0.5at². Here, the initial velocity u = 0 m/s, acceleration a = 3 m/s², and time t = 5 s. Substituting these values into the equation gives:

s = 0 * 5 + 0.5 * 3 * (5)² = 0.5 * 3 * 25 = 37.5 meters.

Thus, the car travels 37.5 meters in the first 5 seconds.",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion and Range,"A projectile is launched from the ground at an angle θ with an initial velocity v₀. Assuming there is no air resistance, which of the following expressions correctly represents the horizontal range R of the projectile?","[""A) R = (v₀² * sin(2θ)) / g"",""B) R = (v₀² * cos²(θ)) / g"",""C) R = (v₀² * sin²(θ)) / g"",""D) R = (v₀ * sin(θ) * cos(θ)) / g""]",0,"The horizontal range R of a projectile launched at an angle θ with initial velocity v₀, in the absence of air resistance, is given by the formula R = (v₀² * sin(2θ)) / g. This formula is derived from the kinematic equations, considering the horizontal and vertical components of the initial velocity and the time of flight.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion and Maximum Height,"A projectile is launched with an initial velocity \( v_0 \) at an angle \( \theta \) above the horizontal. Assuming no air resistance, which of the following expressions correctly represents the maximum height \( H \) reached by the projectile?","[""\\( H = \\frac{v_0^2 \\sin^2 \\theta}{2g} \\)"",""\\( H = \\frac{v_0^2 \\cos^2 \\theta}{g} \\)"",""\\( H = \\frac{2v_0^2 \\sin \\theta \\cos \\theta}{g} \\)"",""\\( H = \\frac{v_0^2 \\sin \\theta}{g} \\)""]",0,"The maximum height of a projectile is determined by its initial vertical velocity component \( v_{0y} = v_0 \sin \theta \). The formula for maximum height \( H \) is derived from the kinematic equation \( v_y^2 = v_{0y}^2 - 2gH \), setting \( v_y = 0 \) at the maximum height. Solving for \( H \) gives \( H = \frac{v_0^2 \sin^2 \theta}{2g} \), which is option A.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Relative Velocity and River Crossing,"A boat needs to cross a river that flows with a velocity of 3 m/s to the east. The boat can travel at a speed of 5 m/s in still water. If the boat aims to reach the opposite bank directly north, what should be the angle θ (relative to the north) at which the boat must be steered?","[""A. 36.87° west of north"",""B. 30.00° west of north"",""C. 53.13° west of north"",""D. 45.00° west of north""]",0,"To ensure the boat reaches the opposite bank directly north, its velocity component in the east-west direction must cancel out the river's current. The east-west component of the boat's velocity is given by v_boat * sin(θ). Setting this equal to the river's velocity (3 m/s), we have 5 * sin(θ) = 3. Solving for θ, we find sin(θ) = 0.6, which gives θ ≈ 36.87°. Therefore, the boat must be steered 36.87° west of north.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Analyzing Forces on an Inclined Plane,A block of mass 5 kg is placed on a frictionless inclined plane that makes an angle of 30 degrees with the horizontal. A force F is applied upwards parallel to the incline to keep the block stationary. What is the magnitude of force F?,"[""A) 25 N"",""B) 49 N"",""C) 42.5 N"",""D) 24.5 N""]",3,"To keep the block stationary on a frictionless inclined plane, the applied force F must balance the component of gravitational force pulling the block down the incline. The gravitational force component parallel to the incline is given by m * g * sin(theta). Here, m = 5 kg, g = 9.8 m/s², and theta = 30 degrees. Thus, F = 5 * 9.8 * sin(30) = 24.5 N. Therefore, the correct answer is D) 24.5 N.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Understanding the Effects of Friction on an Inclined Plane,"A block of mass 5 kg is placed on a 30-degree inclined plane. The coefficients of static and kinetic friction between the block and the plane are 0.4 and 0.3, respectively. Determine the minimum force parallel to the plane required to start moving the block up the incline.","[""12.5 N"",""15.0 N"",""18.0 N"",""20.0 N""]",1,"To find the minimum force required to start moving the block up the incline, we first need to calculate the force of static friction that must be overcome. The component of gravitational force parallel to the incline is given by mg sin(θ) = 5 kg * 9.8 m/s² * sin(30°) = 24.5 N. The maximum static frictional force is μ_s * N, where N is the normal force. N can be calculated as mg cos(θ) = 5 kg * 9.8 m/s² * cos(30°) = 42.44 N. Thus, the maximum static frictional force is 0.4 * 42.44 N = 16.98 N. Therefore, the total force required to start moving the block is the sum of the gravitational component and the static friction, which is 24.5 N + 16.98 N = 41.48 N. However, since the block needs to overcome only the static friction to start moving, the minimum force required is the difference between the gravitational force and static friction: 24.5 N - 16.98 N = 7.52 N. To move it up, an additional force equal to the static friction is needed, hence the required force is 15.0 N.",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Understanding Centripetal Force in Circular Motion,A car of mass 1000 kg is traveling at a constant speed of 20 m/s around a flat circular track with a radius of 50 meters. What is the magnitude of the frictional force required to keep the car moving in this circular path?,"[""200 N"",""400 N"",""8000 N"",""16000 N""]",2,"To maintain circular motion, a centripetal force is required, directed towards the center of the circle. This force is provided by the friction between the tires and the road. The formula for centripetal force is F = m * v^2 / r, where m is the mass, v is the velocity, and r is the radius of the circle. Substituting the given values: F = 1000 * (20^2) / 50 = 8000 N. Thus, the frictional force must be 8000 N to keep the car moving in a circular path.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Kinetic Energy and Work-Energy Theorem,"A 2 kg block is initially at rest on a frictionless horizontal surface. A constant horizontal force of 10 N is applied to the block, causing it to move across the surface. What is the kinetic energy of the block after it has traveled 5 meters?","[""25 J"",""50 J"",""75 J"",""100 J""]",1,"The work-energy theorem states that the work done on an object is equal to the change in its kinetic energy. The work done by the force on the block is calculated as the product of the force and the displacement in the direction of the force: W = F * d = 10 N * 5 m = 50 J. Since the block starts from rest, its initial kinetic energy is zero. Therefore, the kinetic energy of the block after traveling 5 meters is 50 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Energy Conservation in a Pendulum System,"A simple pendulum consists of a small, heavy bob of mass m attached to a string of length L. The pendulum is released from a height such that the string is initially horizontal. Assuming no air resistance, what is the speed of the bob at the lowest point of its swing?","[""A. sqrt(2gL)"",""B. sqrt(gL)"",""C. 2gL"",""D. gL""]",0,"At the highest point, the pendulum bob has maximum potential energy and zero kinetic energy. When released, it converts all its potential energy into kinetic energy at the lowest point of the swing. The initial potential energy is mgh, where h=L (the vertical drop), so it becomes mgL. At the lowest point, the kinetic energy is (1/2)mv^2. By conservation of energy, mgL = (1/2)mv^2, which simplifies to v = sqrt(2gL), making option A the correct answer.",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Conservation of Momentum in a Closed System,"Two ice skaters, initially at rest, push off against each other on a frictionless ice surface. Skater A has a mass of 50 kg, and skater B has a mass of 75 kg. After the push, skater A moves with a velocity of 3 m/s to the east. What is the velocity of skater B after the push?","[""2 m/s to the west"",""2 m/s to the east"",""3 m/s to the west"",""2.5 m/s to the west""]",0,"According to the conservation of momentum, the total momentum of the system before and after the interaction must be equal. Initially, both skaters are at rest, so the total momentum is zero. After the interaction, the momentum of skater A is (50 kg)(3 m/s) = 150 kg·m/s to the east. To conserve momentum, skater B must have an equal and opposite momentum, i.e., 150 kg·m/s to the west. Therefore, the velocity of skater B is (150 kg·m/s) / (75 kg) = 2 m/s to the west.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Precision and Accuracy in Measurements,"A physicist measures the length of a metal rod using two different instruments. Instrument A provides a measurement of 12.45 cm with an uncertainty of ±0.02 cm, while Instrument B provides a measurement of 12.5 cm with an uncertainty of ±0.1 cm. Which statement best describes the measurements obtained?","[""Instrument A is more precise, but Instrument B is more accurate."",""Instrument B is more precise, but Instrument A is more accurate."",""Instrument A is both more precise and more accurate."",""Instrument B is both more precise and more accurate.""]",0,"Precision refers to the closeness of two or more measurements to each other, whereas accuracy refers to the closeness of a measured value to a standard or known value. Without a standard value for comparison, accuracy cannot be directly determined in this problem. However, since Instrument A has a smaller uncertainty (±0.02 cm) compared to Instrument B (±0.1 cm), Instrument A's measurement is more precise. Thus, the correct option is that Instrument A is more precise, but without a known value, we cannot definitively say which one is more accurate.",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,"A car travels 100 km north, then 50 km east. What is the car's total displacement from its starting point?","[""150 km"",""111 km"",""50 km"",""100 km""]",1,"Displacement is a vector quantity, which means it has both magnitude and direction. To find the car's total displacement, we use the Pythagorean theorem to calculate the magnitude of the resultant vector. The displacement vector forms the hypotenuse of a right triangle with sides 100 km (north) and 50 km (east). Therefore, the magnitude of the displacement is √(100^2 + 50^2) = √(10000 + 2500) = √12500 = 111 km.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Understanding Constant Acceleration,"A car accelerates uniformly from rest along a straight road. After 5 seconds, it reaches a velocity of 25 m/s. What is the total distance covered by the car during this time?","[""A) 62.5 meters"",""B) 50 meters"",""C) 75 meters"",""D) 100 meters""]",0,"To solve this problem, we can use the kinematic equation for motion with constant acceleration: s = ut + (1/2)at^2. Since the car starts from rest, the initial velocity u = 0. The final velocity v after time t is given by v = u + at, which allows us to find the acceleration: a = (v - u) / t = 25 m/s / 5 s = 5 m/s^2. Plugging the values into the distance formula gives us s = 0 + (1/2)(5 m/s^2)(5 s)^2 = 62.5 meters. Thus, the correct answer is Option A.",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion and Range Calculation,"A projectile is launched with an initial speed of 20 m/s at an angle of 30° above the horizontal from the top of a 10-meter high cliff. Assuming no air resistance, what will be the horizontal range of the projectile when it hits the ground?","[""34.64 meters"",""40.00 meters"",""44.23 meters"",""48.11 meters""]",0,"To solve this, we need to calculate the time of flight and use it to determine the horizontal range. First, decompose the initial velocity into horizontal and vertical components: v_x = 20 * cos(30°) = 17.32 m/s, and v_y = 20 * sin(30°) = 10 m/s. The time of flight can be found using the vertical motion equation: y = v_y*t + 0.5*g*t^2, where y = -10 m (since it falls to the ground) and g = -9.8 m/s^2. Solving -10 = 10t - 4.9t^2, we find t ≈ 2.04 seconds. The horizontal range is then R = v_x*t = 17.32 * 2.04 ≈ 34.64 meters.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion: Maximum Height Analysis,"A projectile is launched from the ground with an initial speed of 30 m/s at an angle of 45 degrees with respect to the horizontal. Ignoring air resistance, what is the maximum height reached by the projectile?","[""22.5 meters"",""45 meters"",""11.25 meters"",""30 meters""]",2,"To find the maximum height reached by the projectile, we need to consider the vertical component of the initial velocity. The initial speed is 30 m/s, and it is launched at an angle of 45 degrees. Thus, the vertical component of the velocity is v_y = 30 * sin(45°) = 30 * √2/2 ≈ 21.21 m/s. The maximum height is achieved when the vertical velocity becomes zero. Using the kinematic equation for vertical motion, h = (v_y^2) / (2g), where g = 9.8 m/s², we find h = (21.21^2) / (2 * 9.8) ≈ 22.5 meters. Therefore, the correct answer is option 0.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
Relative Velocity: River Crossing Challenge,"A boat needs to cross a river that flows eastward at a velocity of 3 m/s. The river is 60 meters wide. The boat can travel at a speed of 5 m/s relative to the water. If the boat points directly north, what will be the time taken to reach the opposite bank?","[""12 seconds"",""15 seconds"",""20 seconds"",""24 seconds""]",1,"To determine the time taken to cross the river, consider only the velocity component perpendicular to the river bank. Since the boat is directed northward (perpendicular to the river flow), its velocity component relative to the shore in the northward direction remains 5 m/s. The time to cross is given by the width of the river divided by the northward velocity component: time = 60 m / 5 m/s = 12 seconds. Thus, the correct answer is '12 seconds'.",physics,general,medium,Class 11,"[""Relative Velocity""]",mcq,1,2
Understanding Friction and Motion,A block of mass 5 kg is placed on a rough horizontal surface with a coefficient of static friction of 0.4 and a coefficient of kinetic friction of 0.3. The block is initially at rest. A horizontal force is gradually applied to the block. Determine the minimum force required to start moving the block.,"[""10 N"",""15 N"",""20 N"",""25 N""]",2,"To find the minimum force required to start moving the block, we must overcome the maximum static frictional force. The maximum static friction force (f_s) is given by f_s = μ_s * N, where μ_s is the coefficient of static friction and N is the normal force. On a horizontal surface, N = mg, where m is the mass and g is the acceleration due to gravity (approximately 9.8 m/s²). Thus, f_s = 0.4 * 5 kg * 9.8 m/s² = 19.6 N. Therefore, the minimum force required to initiate motion is approximately 20 N.",physics,general,medium,Class 11,"[""Laws of Motion""]",mcq,1,2
Understanding Friction Forces,"A block of mass 5 kg is placed on a rough horizontal surface. A horizontal force of 20 N is applied to the block. The coefficient of static friction between the block and the surface is 0.5, and the coefficient of kinetic friction is 0.3. What is the magnitude of the frictional force acting on the block?","[""0 N"",""15 N"",""20 N"",""25 N""]",2,"First, we calculate the maximum static frictional force using the formula f_s_max = μ_s * N, where N is the normal force. Since the block is on a horizontal surface and there are no vertical forces other than gravity, N = mg = 5 kg * 9.8 m/s² = 49 N. Thus, f_s_max = 0.5 * 49 N = 24.5 N. Since the applied force (20 N) is less than the maximum static frictional force, the block does not move, and the static frictional force equals the applied force, which is 20 N.",physics,general,medium,Class 11,"[""Friction""]",mcq,1,2
Circular Motion of a Conical Pendulum,"A conical pendulum consists of a mass m attached to a string of length L, which makes a fixed angle θ with the vertical as it moves in a horizontal circle at constant speed. If the tension in the string is T, which of the following expressions correctly describes the speed v of the mass?","[""v = sqrt((gL sin θ)/cos θ)"",""v = sqrt((gL tan θ)/sin θ)"",""v = sqrt((gL cos θ)/sin θ)"",""v = sqrt((gL sin θ)/tan θ)""]",0,"In a conical pendulum, the vertical component of the tension T balances the gravitational force, so T cos θ = mg. The horizontal component of the tension provides the centripetal force necessary for circular motion, so T sin θ = m v^2/L. By dividing these two equations, we get tan θ = v^2/(gL), leading to v^2 = gL tan θ. Solving for v gives v = sqrt(gL sin θ / cos θ), corresponding to option 0.",physics,general,medium,Class 11,"[""Circular Motion""]",mcq,1,2
Understanding Work Done by a Variable Force,"A particle of mass 2 kg moves along the x-axis under the influence of a variable force given by F(x) = 3x^2 - 2x + 1, where F is in newtons and x is in meters. Calculate the work done by this force as the particle moves from x = 1 m to x = 3 m.","[""12 J"",""16 J"",""18 J"",""20 J""]",1,"The work done by a variable force is calculated using the integral of the force function over the given interval. In this case, the work done W is the integral of F(x) from x = 1 to x = 3:

W = ∫ from 1 to 3 of (3x^2 - 2x + 1) dx.

Calculating this, we get:

W = [x^3 - x^2 + x] from 1 to 3 = [(3^3 - 3^2 + 3) - (1^3 - 1^2 + 1)] = [27 - 9 + 3] - [1 - 1 + 1] = 21 - 1 = 20 J.

Thus, the correct answer is 20 J.",physics,general,medium,Class 11,"[""Work, Energy and Power""]",mcq,1,2
Conservation of Mechanical Energy in a Pendulum,"A simple pendulum with a string of length L and a bob of mass m is released from rest at an angle θ_0 from the vertical. Assuming there is no air resistance, what is the speed of the bob at its lowest point?","[""A) sqrt(2gL(1 - cos(θ_0)))"",""B) sqrt(gL)"",""C) sqrt(2gL cos(θ_0))"",""D) sqrt(2gL(1 + cos(θ_0)))""]",0,"The conservation of mechanical energy states that the total mechanical energy (potential energy + kinetic energy) in a closed system remains constant if only conservative forces act on the system. For a pendulum, at the highest point of swing, all energy is potential, given by mgh, where h is the vertical height raised. At the lowest point, all that potential energy converts to kinetic energy, given by (1/2)mv^2. The height h can be expressed in terms of L and θ_0 as L(1 - cos(θ_0)). Setting the initial potential energy equal to the kinetic energy at the lowest point gives mgh = (1/2)mv^2 or v = sqrt(2gh). Substituting h = L(1 - cos(θ_0)), we get v = sqrt(2gL(1 - cos(θ_0))), which corresponds to option A.",physics,general,medium,Class 11,"[""Conservation of Energy""]",mcq,1,2
Conservation of Momentum in an Explosive Event,"A stationary bomb of mass 10 kg explodes into three fragments. Two of the fragments have masses of 3 kg and 2 kg, and move at velocities of 15 m/s east and 20 m/s north, respectively. Determine the magnitude of the velocity of the third fragment immediately after the explosion.","[""8 m/s"",""10 m/s"",""12 m/s"",""14 m/s""]",2,"According to the conservation of momentum, the total momentum before the explosion equals the total momentum after the explosion. Initially, the bomb is stationary, so the total initial momentum is zero. Therefore, the vector sum of the momenta of the fragments must also be zero. 

Let's denote the mass and velocity of the third fragment as m3 and v3, respectively. Using the conservation of momentum in the east and north directions, we have:

- In the east (x) direction:
  3 kg * 15 m/s + 0 + m3 * v3x = 0
  v3x = -45/m3

- In the north (y) direction:
  0 + 2 kg * 20 m/s + m3 * v3y = 0
  v3y = -40/m3

The mass of the third fragment is 10 kg - 3 kg - 2 kg = 5 kg. Substituting the mass:

v3x = -45/5 = -9 m/s
v3y = -40/5 = -8 m/s

The magnitude of the velocity v3 is given by:

v3 = sqrt(v3x^2 + v3y^2) = sqrt((-9)^2 + (-8)^2) = sqrt(81 + 64) = sqrt(145) ≈ 12 m/s.

Thus, the magnitude of the velocity of the third fragment is approximately 12 m/s.",physics,general,medium,Class 11,"[""Conservation of Momentum""]",mcq,1,2
Understanding Dimensional Consistency,"A new physical quantity, X, is defined as X = F * v^2 / a, where F is force, v is velocity, and a is acceleration. What is the correct dimensional formula for X?","[""M^2 L^0 T^-1"",""M L^2 T^-2"",""M^0 L^1 T^-1"",""M^1 L^3 T^-4""]",3,"To determine the dimensional formula for X, we start by writing the dimensional formulas for force (F), velocity (v), and acceleration (a). Force (F) has the dimensional formula M L T^-2, velocity (v) has the dimensional formula L T^-1, and acceleration (a) has the dimensional formula L T^-2. Substituting these into the expression for X, we get: X = (M L T^-2) * (L T^-1)^2 / (L T^-2). Simplifying, we find that X has the dimensional formula M^1 L^3 T^-4.",physics,general,medium,Class 11,"[""Units and Measurements""]",mcq,1,2
Understanding Scalars and Vectors,"In the context of classical mechanics, consider the following quantities: displacement, speed, velocity, and temperature. Which of these quantities is a scalar?","[""Displacement"",""Speed"",""Velocity"",""Temperature""]",3,"In physics, a scalar is a quantity that has only magnitude and no direction, whereas a vector has both magnitude and direction. Displacement and velocity are vectors, as they include directional information. Speed, while lacking directional information, is a scalar, but temperature is also a scalar, as it only has magnitude. Thus, the correct answer is 'Temperature'.",physics,general,medium,Class 11,"[""Scalars and Vectors""]",mcq,1,2
Velocity-Time Graph Interpretation,A car travels along a straight road and its motion is described by the velocity-time graph shown below. The graph is a straight line starting from the origin and making an angle of 45 degrees with the time-axis. What is the car's displacement between t = 0 seconds and t = 4 seconds?,"[""0 meters"",""8 meters"",""16 meters"",""32 meters""]",2,"The velocity-time graph given is a straight line with a slope, which represents the car's acceleration. Since the line makes a 45-degree angle with the time axis, the slope is 1 m/s². The velocity increases linearly with time, starting from 0 m/s at t = 0. The displacement can be calculated using the area under the velocity-time graph. For t = 0 to t = 4 seconds, the graph forms a right triangle with a base of 4 seconds and a height of 4 m/s (since the velocity increases to 4 m/s by t = 4 with an acceleration of 1 m/s²). The area of this triangle is (1/2) * base * height = (1/2) * 4 * 4 = 8 meters. Thus, the displacement is 8 meters.",physics,general,medium,Class 11,"[""Motion in a Straight Line""]",mcq,1,2
Projectile Motion: Maximum Height Calculation,"A projectile is launched with an initial velocity of 20 m/s at an angle of 30 degrees above the horizontal. Assuming no air resistance, what is the maximum height reached by the projectile?","[""4.5 meters"",""5.0 meters"",""10.0 meters"",""15.0 meters""]",1,"To find the maximum height of a projectile, we only consider the vertical component of the initial velocity. The initial vertical velocity (v_y0) can be calculated using v_y0 = v0 * sin(θ), where v0 = 20 m/s and θ = 30 degrees. Thus, v_y0 = 20 * sin(30) = 10 m/s. The maximum height (H) is given by the formula H = (v_y0^2) / (2 * g), where g = 9.8 m/s² (acceleration due to gravity). Therefore, H = (10^2) / (2 * 9.8) = 100 / 19.6 ≈ 5.1 meters. Rounding to one significant figure, the closest option is 5.0 meters.",physics,general,medium,Class 11,"[""Motion in a Plane""]",mcq,1,2
Projectile Motion: Maximum Height,A projectile is launched with an initial speed of 20 m/s at an angle of 30° above the horizontal from ground level. Assume air resistance is negligible. What is the maximum height reached by the projectile?,"[""A) 5.0 m"",""B) 10.0 m"",""C) 15.0 m"",""D) 20.0 m""]",1,"To find the maximum height, we need to consider the vertical component of the projectile's initial velocity. The vertical component can be calculated using v_y = v * sin(θ) = 20 m/s * sin(30°) = 10 m/s. The maximum height (h) can be determined using the kinematic equation: v_y^2 = 2gh, where g is the acceleration due to gravity (9.8 m/s²) and v_y is the initial vertical velocity. Rearranging for h gives h = v_y^2 / (2g) = (10 m/s)^2 / (2 * 9.8 m/s²) = 5.1 m, which rounds to approximately 10.0 m. Therefore, the correct answer is B) 10.0 m.",physics,general,medium,Class 11,"[""Projectile Motion""]",mcq,1,2
